Name,Name Alias,AD St,Address,Annotation,APIC Type,Child Action,Delayed Heartbeat,DN,Externally Managed By,Fabric State,ID,Last State Modified,Local Owner,Last Modified,Model,Monitoring Policy DN,Node Type,Role,Serial,Status,UID,User Domain,Vendor,Version
dt1-lf1142,,off,0.0.0.0,,apic,,no,topology/pod-1/node-1142,,undiscovered,1142,1970-01-01T00:00:00.000+00:00,local,2022-11-17T20:38:25.131+00:00,,uni/fabric/monfab-default,unspecified,unsupported,FDO231008CH,,0,all,Cisco Systems  Inc,
leaf-1,,on,10.0.136.64,,apic,,no,topology/pod-1/node-101,,active,101,2022-11-17T17:08:34.456+00:00,local,2022-11-17T18:22:49.325+00:00,N9K-C9396PX,uni/fabric/monfab-default,unspecified,leaf,TEP-1-101,,0,all,Cisco Systems  Inc,simsw-5.2(1g)
dt1-lf1141,,off,0.0.0.0,,apic,,no,topology/pod-1/node-1141,,undiscovered,1141,1970-01-01T00:00:00.000+00:00,local,2022-11-17T20:38:25.131+00:00,,uni/fabric/monfab-default,unspecified,unsupported,FDO22252QK8,,0,all,Cisco Systems  Inc,
leaf-2,,on,10.0.136.66,,apic,,no,topology/pod-1/node-102,,active,102,2022-11-17T18:24:21.990+00:00,local,2022-11-17T18:24:23.475+00:00,N9K-C9396PX,uni/fabric/monfab-default,unspecified,leaf,TEP-1-102,,0,all,Cisco Systems  Inc,simsw-5.2(1g)
apic1,,on,10.0.0.1,,apic,,no,topology/pod-1/node-1,,unknown,1,1970-01-01T00:00:00.000+00:00,local,2022-11-17T15:52:30.138+00:00,,uni/fabric/monfab-default,unspecified,controller,TEP-1-1,,0,all,Cisco Systems  Inc,5.2(1g)
spine-1,,on,10.0.136.65,,apic,,no,topology/pod-1/node-201,,active,201,2022-11-17T18:23:44.357+00:00,local,2022-11-17T18:24:23.481+00:00,N9K-C9508,uni/fabric/monfab-default,unspecified,spine,TEP-1-103,,0,all,Cisco Systems  Inc,simsw-5.2(1g)
