Name,Address,Bootstrap State,Child Action,Cluster Time Diff,Configuration Issues,Control Plane MTU,Current Time,DN,Enforce Subnet Check,ETEP Address,Fabric Domain,Fabric ID,Fabric MAC,ID,Inband Mgmt Address,Inband Mgmt Address6,Inband Mgmt Address6 Mask,Inband Mgmt Address Mask,Inband Mgmt Gateway,Inband Mgmt Gateway6,Last Reboot Time,Last Reset Reason,LC Own,Modified Timestamp,Mode,Monitoring Policy DN,Name Alias,Node Type,Out of Band Mgmt Address,Out of Band Mgmt Address6,Out of Band Mgmt Address6 Mask,Out of Band Mgmt Address Mask,Out of Band Mgmt Gateway,Out of Band Mgmt Gateway6,Pod ID,Remote Network ID,Remote Node,RL Oper Pod ID,RL Routable Mode,RL Direct Mode,Role,Serial Number,Server Type,Site ID,State,Status,System Uptime,TEP Pool,Unicast XR EP Learn Disable,Version,Virtual Mode
apic1,10.0.0.1,none,,0,,9000,2022-11-17T21:09:16.574+00:00,topology/pod-1/node-1/sys,no,0.0.0.0,ACI Fabric1,1,00:22:BD:F8:19:FF,1,192.168.11.1,192.168.11.1,0,24,192.168.11.254,::,2022-11-17T15:43:44.240+00:00,unknown,local,2022-11-17T15:52:04.295+00:00,unspecified,uni/fabric/monfab-default,,unspecified,10.10.20.14,fe80::200:ff:fe0:0,0,24,10.10.20.254,2001:420:28e:2020:acc:68ff:fe28:b540,1,0,no,0,no,no,controller,TEP-1-1,unspecified,0,in-service,,00:05:25:32.000,0.0.0.0,no,5.2(1g),no
leaf-1,10.0.136.64,done,,-7,,9000,2022-11-17T21:09:16.577+00:00,topology/pod-1/node-101/sys,no,0.0.0.0,ACI Fabric1,1,00:22:BD:F8:19:FF,101,0.0.0.0,0.0.0.0,0,0,0.0.0.0,::,2022-11-17T15:43:45.006+00:00,unknown,local,2022-11-17T18:22:49.246+00:00,unspecified,uni/fabric/monfab-default,,unspecified,0.0.0.0,::,0,0,0.0.0.0,::,1,0,no,1,no,no,leaf,TEP-1-101,unspecified,0,in-service,,00:05:25:32.000,10.0.0.0/16,no,simsw-5.2(1g),no
leaf-2,10.0.136.66,done,,-8,,9000,2022-11-17T21:09:16.578+00:00,topology/pod-1/node-102/sys,no,0.0.0.0,ACI Fabric1,1,00:22:BD:F8:19:FF,102,0.0.0.0,0.0.0.0,0,0,0.0.0.0,::,2022-11-17T15:43:44.779+00:00,unknown,local,2022-11-17T18:25:14.595+00:00,unspecified,uni/fabric/monfab-default,,unspecified,0.0.0.0,::,0,0,0.0.0.0,::,1,0,no,1,no,no,leaf,TEP-1-102,unspecified,0,in-service,,00:05:25:32.000,10.0.0.0/16,no,simsw-5.2(1g),no
spine-1,10.0.136.65,done,,-9,,9000,2022-11-17T21:09:16.579+00:00,topology/pod-1/node-201/sys,no,0.0.0.0,ACI Fabric1,1,00:22:BD:F8:19:FF,201,0.0.0.0,0.0.0.0,0,0,0.0.0.0,::,2022-11-17T15:43:44.744+00:00,unknown,local,2022-11-17T18:24:23.652+00:00,unspecified,uni/fabric/monfab-default,,unspecified,0.0.0.0,::,0,0,0.0.0.0,::,1,0,no,1,yes,yes,spine,TEP-1-103,unspecified,0,in-service,,00:05:25:32.000,10.0.0.0/16,no,simsw-5.2(1g),no
