# t mom[0] mom[1] mom[2] mom[3] mom[4] mom[5]
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.939393939393939392e-01 0.000000000000000000e+00 1.880624426078971734e-01 0.000000000000000000e+00
1.999999999999999909e-06 1.000000000000000444e+00 3.469446951953614189e-18 1.939394084970738064e-01 4.857225732735059864e-17 1.880624807070369886e-01 1.179611963664228824e-16
6.000000000000000152e-06 1.000000000000001110e+00 2.602085213965210642e-17 1.939394666808615941e-01 1.075528555105620399e-16 1.880626328962345939e-01 2.255140518769849223e-16
1.399999999999999979e-05 1.000000000000001776e+00 -2.168404344971008868e-17 1.939396990884642014e-01 1.162264728904460753e-16 1.880632401678014598e-01 2.862293735361731706e-16
2.999999999999999737e-05 1.000000000000002442e+00 4.813857645835639687e-17 1.939406262060581476e-01 2.454633718507182039e-16 1.880656577890817416e-01 5.039371697712624609e-16
5.038069255095937212e-05 1.000000000000003109e+00 2.059984127722458425e-17 1.939443149751940432e-01 1.921206249644313857e-16 1.880752384841224978e-01 3.907464629637757980e-16
7.250077596334335815e-05 1.000000000000003775e+00 -1.084202172485504434e-19 1.939502361109220474e-01 2.209604027525458037e-16 1.880905396342229252e-01 4.243567303108264355e-16
9.524321048887406148e-05 1.000000000000004663e+00 1.729302465114379572e-17 1.939571113118263301e-01 2.353802916466030126e-16 1.881082047147792091e-01 4.689174395999806677e-16
1.181996448495474148e-04 1.000000000000005329e+00 -8.700722434196173083e-18 1.939642612029580104e-01 2.981013873248894441e-16 1.881264623072731457e-01 6.369145662266095798e-16
1.412277988607996224e-04 1.000000000000005773e+00 -4.251427768858784262e-17 1.939714222002453248e-01 3.086452534523109748e-16 1.881446307785556715e-01 6.654019783086662088e-16
1.642789195217037490e-04 1.000000000000006661e+00 -1.778769189234030712e-17 1.939785030230846974e-01 3.763672316511867955e-16 1.881624780945017616e-01 7.906679868122101773e-16
1.873364215502607325e-04 1.000000000000007550e+00 -5.052720936961352383e-17 1.939854744709718637e-01 3.477781756154596504e-16 1.881799335510872806e-01 7.353397946975592792e-16
2.103947016525362893e-04 1.000000000000008438e+00 -7.730530896411097475e-17 1.939923286902744959e-01 3.057280719819671644e-16 1.881969816329035206e-01 6.937979108324193733e-16
2.334518955112127353e-04 1.000000000000009326e+00 -7.681657095354524345e-17 1.939990650184874321e-01 2.985808079730353781e-16 1.882136252496144357e-01 6.938436506115711055e-16
2.565074098213935118e-04 1.000000000000009992e+00 -6.269441414044792105e-17 1.940056851641551172e-01 3.574572211037345404e-16 1.882298732603752134e-01 8.395832924831987676e-16
2.795610823521264767e-04 1.000000000000010658e+00 -6.257222963780648822e-17 1.940121915778821871e-01 3.730176398612696648e-16 1.882457362739245466e-01 8.569419621877547716e-16
3.026128962239105235e-04 1.000000000000011324e+00 -8.332781909820745694e-17 1.940185869042574396e-01 3.738589553361299986e-16 1.882612252431765942e-01 8.586824031361255452e-16
3.256628827576192272e-04 1.000000000000012434e+00 -1.041139546842687839e-16 1.940248737987826932e-01 3.187684618423023385e-16 1.882763510005204255e-01 7.346525333399808212e-16
3.487110884681090075e-04 1.000000000000013323e+00 -1.283848102851139041e-16 1.940310548679030633e-01 2.773454272875740517e-16 1.882911241093437604e-01 6.518209167301867741e-16
3.717575638779145879e-04 1.000000000000014211e+00 -1.370507911335828500e-16 1.940371326505029026e-01 2.705116978180243650e-16 1.883055548216580055e-01 6.728551535604548059e-16
3.948023597515393007e-04 1.000000000000014877e+00 -1.344448876539100946e-16 1.940431096133315436e-01 2.670948330832495217e-16 1.883196530711618299e-01 6.764333780716815935e-16
4.178455258516346649e-04 1.000000000000015543e+00 -1.366113828660273311e-16 1.940489881510713832e-01 2.653864007158621000e-16 1.883334284779787371e-01 6.782224903272949872e-16
4.408871105521921792e-04 1.000000000000016431e+00 -1.446335243759931777e-16 1.940547705879169804e-01 2.922877601477973027e-16 1.883468903570823527e-01 7.415670915902667395e-16
4.639271607421306437e-04 1.000000000000016875e+00 -1.243584664673008017e-16 1.940604591796099843e-01 3.404329093833010459e-16 1.883600477277296015e-01 8.773228007803610413e-16
4.869657218266665376e-04 1.000000000000017542e+00 -1.385070661766299130e-16 1.940660561155775898e-01 3.714443779049601459e-16 1.883729093230109286e-01 9.660173370871298774e-16
5.100028377593417844e-04 1.000000000000018208e+00 -1.525202599352016970e-16 1.940715635210561452e-01 4.008278999736041527e-16 1.883854835992244126e-01 1.051997968663957666e-15
5.330385510857834535e-04 1.000000000000018874e+00 -1.317712811988586755e-16 1.940769834591605236e-01 3.947029792962044709e-16 1.883977787449770125e-01 9.631493002781342206e-16
5.560729029880747331e-04 1.000000000000019540e+00 -1.318051326865480074e-16 1.940823179328911574e-01 3.708238372457829449e-16 1.884098026900001832e-01 9.256638599891297265e-16
5.791059333301799665e-04 1.000000000000019984e+00 -1.387609523342999016e-16 1.940875688870741800e-01 4.421509930674589224e-16 1.884215631136690883e-01 1.087332381346215417e-15
6.021376807003392872e-04 1.000000000000020872e+00 -1.352999682542686204e-16 1.940927382102368703e-01 3.876089502275029423e-16 1.884330674532380678e-01 9.530609310036341829e-16
6.251681824540666682e-04 1.000000000000021538e+00 -1.196916884064385230e-16 1.940978277364188986e-01 4.227879739426900076e-16 1.884443229117966356e-01 1.038580871718302590e-15
6.481974747551817696e-04 1.000000000000022427e+00 -1.084181015305698602e-16 1.941028392469231201e-01 4.473163797041907686e-16 1.884553364659597163e-01 1.109096417691265707e-15
6.712255926146861763e-04 1.000000000000023093e+00 -1.374757776121716706e-16 1.941077744720072773e-01 4.942750521044772910e-16 1.884661148732988956e-01 1.234559811428541235e-15
6.942525699293039662e-04 1.000000000000023981e+00 -1.797601912686014893e-16 1.941126350925180266e-01 4.969377065928988671e-16 1.884766646795227041e-01 1.297291508297178998e-15
7.172784395184367409e-04 1.000000000000024425e+00 -2.113107389526772413e-16 1.941174227414702580e-01 4.982690338371096552e-16 1.884869922254162888e-01 1.252329523788518368e-15
7.403032331594091957e-04 1.000000000000025313e+00 -2.132082249869006605e-16 1.941221390055734852e-01 4.295457584201427654e-16 1.884971036535488809e-01 1.118826229071672399e-15
7.633269816219127044e-04 1.000000000000026201e+00 -2.002791801961979133e-16 1.941267854267064163e-01 5.062064231741749746e-16 1.885070049147550275e-01 1.329630337869538549e-15
7.863497147019098393e-04 1.000000000000026645e+00 -2.076924456086609965e-16 1.941313635033423135e-01 5.861701189746344494e-16 1.885167017743997753e-01 1.518299119115358365e-15
